Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
16300;0.683333;3.921053;0.633333;7.317073;88.918644;5.642623;0.141667;100.000000
16400;0.683333;3.921053;0.633333;7.317073;88.918628;5.642623;0.141667;100.000000
16500;0.691667;3.921053;0.633333;8.433735;88.856406;5.696086;0.150000;100.000000
16600;0.691667;3.921053;0.633333;8.433735;88.856138;5.696088;0.150000;100.000000
16700;0.691667;3.921053;0.633333;8.433735;88.856122;5.696088;0.150000;100.000000
16800;0.691667;3.921053;0.633333;8.433735;88.856106;5.696088;0.150000;100.000000
16900;0.691667;3.921053;0.633333;8.433735;88.856090;5.696088;0.150000;100.000000
17000;0.691667;3.921053;0.633333;8.433735;88.856075;5.696088;0.150000;100.000000
17100;0.691667;3.921053;0.633333;8.433735;88.856059;5.696088;0.150000;100.000000
17200;0.691667;3.921053;0.633333;8.433735;88.856043;5.696088;0.150000;100.000000
17300;0.691667;3.921053;0.633333;8.433735;88.856028;5.696088;0.150000;100.000000
17400;0.691667;3.921053;0.633333;8.433735;88.856012;5.696088;0.150000;100.000000
17500;0.691667;3.921053;0.633333;8.433735;88.855996;5.696088;0.150000;100.000000
17600;0.691667;3.921053;0.633333;8.433735;88.855980;5.696088;0.150000;100.000000
17700;0.691667;3.921053;0.633333;8.433735;88.855965;5.696088;0.150000;100.000000
17800;0.691667;3.921053;0.633333;8.433735;88.855949;5.696088;0.150000;100.000000
17900;0.691667;3.921053;0.633333;8.433735;88.855933;5.696088;0.150000;100.000000
18000;0.691667;3.921053;0.633333;8.433735;88.855918;5.696088;0.150000;100.000000
18100;0.700000;3.896104;0.641667;8.333333;88.822636;5.726125;0.158333;100.000000
18200;0.700000;3.896104;0.641667;8.333333;88.822621;5.726125;0.158333;100.000000
18300;0.700000;3.896104;0.641667;8.333333;88.822605;5.726125;0.158333;100.000000
18400;0.700000;3.896104;0.641667;8.333333;88.822589;5.726125;0.158333;100.000000
18500;0.700000;3.896104;0.641667;8.333333;88.822574;5.726125;0.158333;100.000000
18600;0.700000;3.896104;0.641667;8.333333;88.822558;5.726125;0.158333;100.000000
18700;0.700000;3.896104;0.641667;8.333333;88.822542;5.726125;0.158333;100.000000
18800;0.700000;3.896104;0.641667;8.333333;88.822526;5.726125;0.158333;100.000000
18900;0.708333;3.897436;0.650000;8.235294;88.760637;5.781977;0.166667;100.000000
19000;0.708333;3.897436;0.650000;8.235294;88.760621;5.781977;0.166667;100.000000
19100;0.708333;3.897436;0.650000;8.235294;88.760606;5.781977;0.166667;100.000000
19200;0.708333;3.897436;0.650000;8.235294;88.760590;5.781977;0.166667;100.000000
19300;0.716667;3.860759;0.658333;8.139535;88.733020;5.806915;0.175000;100.000000
19400;0.716667;3.860759;0.658333;8.139535;88.733004;5.806915;0.175000;100.000000
19500;0.716667;3.860759;0.658333;8.139535;88.732989;5.806915;0.175000;100.000000
19600;0.716667;3.860759;0.658333;8.139535;88.732973;5.806915;0.175000;100.000000
19700;0.716667;3.860759;0.658333;8.139535;88.732957;5.806915;0.175000;100.000000
19800;0.716667;3.860759;0.658333;8.139535;88.732941;5.806915;0.175000;100.000000
19900;0.716667;3.860759;0.658333;8.139535;88.732926;5.806915;0.175000;100.000000
20000;0.716667;3.860759;0.658333;8.139535;88.732910;5.806915;0.175000;100.000000
20100;0.716667;3.860759;0.658333;8.139535;88.732894;5.806915;0.175000;100.000000
20200;0.716667;3.860759;0.658333;8.139535;88.732879;5.806915;0.175000;100.000000
20300;0.716667;3.860759;0.658333;8.139535;88.732863;5.806915;0.175000;100.000000
20400;0.716667;3.860759;0.658333;8.139535;88.732847;5.806915;0.175000;100.000000
20500;0.716667;3.860759;0.658333;8.139535;88.732832;5.806915;0.175000;100.000000
20600;0.716667;3.860759;0.658333;8.139535;88.732816;5.806915;0.175000;100.000000
20700;0.716667;3.860759;0.658333;8.139535;88.732800;5.806915;0.175000;100.000000
20800;0.716667;3.860759;0.658333;8.139535;88.732784;5.806915;0.175000;100.000000
20900;0.716667;3.860759;0.658333;8.139535;88.732769;5.806915;0.175000;100.000000
21000;0.716667;3.860759;0.658333;8.139535;88.732753;5.806915;0.175000;100.000000
21100;0.716667;3.860759;0.658333;8.139535;88.732737;5.806915;0.175000;100.000000
21200;0.716667;3.860759;0.658333;8.139535;88.732722;5.806915;0.175000;100.000000
21300;0.716667;3.860759;0.658333;8.139535;88.732706;5.806915;0.175000;100.000000
21400;0.725000;3.825000;0.666667;8.045977;88.731651;5.807746;0.183333;100.000000
21500;0.725000;3.825000;0.666667;8.045977;88.731635;5.807746;0.183333;100.000000
21600;0.725000;3.825000;0.666667;8.045977;88.731619;5.807746;0.183333;100.000000
21700;0.725000;3.825000;0.666667;8.045977;88.731604;5.807746;0.183333;100.000000
21800;0.725000;3.825000;0.666667;8.045977;88.731588;5.807746;0.183333;100.000000
21900;0.725000;3.825000;0.666667;8.045977;88.731572;5.807746;0.183333;100.000000
22000;0.725000;3.825000;0.666667;8.045977;88.731556;5.807746;0.183333;100.000000
22100;0.725000;3.825000;0.666667;8.045977;88.731541;5.807746;0.183333;100.000000
22200;0.725000;3.825000;0.666667;8.045977;88.731525;5.807746;0.183333;100.000000
22300;0.725000;3.825000;0.666667;8.045977;88.731509;5.807746;0.183333;100.000000
